timestamp_us,px,py,pz,qw,qx,qy,qz,yaw_imu,yaw_slam
1296544646,0.0822796,0.0162838,-0.0150042,0.982596,-0.017171,-0.00526987,-0.184885,0,0
1296546010,0.0823006,0.0162886,-0.0151068,0.982591,-0.0172212,-0.00526477,-0.184908,0,0
1296563473,0.082569,0.0163502,-0.01642,0.982585,-0.0172822,-0.00526337,-0.184936,0,0
1296575565,0.0827549,0.0163928,-0.0173294,0.98256,-0.0175624,-0.00526754,-0.185039,0,0
1296593036,0.0830234,0.0164544,-0.0186432,0.979847,-0.048421,-0.00424835,-0.193746,0,0
1296644848,0.0838199,0.0166371,-0.0225396,0.970462,-0.119188,0.00634559,-0.20966,0,0
1296647841,0.0838659,0.0166477,-0.0227646,0.970396,-0.119569,0.00641412,-0.209745,0,0
1296710990,0.0746555,0.0199895,0.0010897,0.970375,-0.119694,0.0064488,-0.209771,0,0
1296744895,0.0708997,0.0185105,-0.00646667,0.965694,-0.142828,0.0112719,-0.216583,0,0
1296746199,0.0707981,0.0184998,-0.0065618,0.964646,-0.147549,0.0119455,-0.218047,0,0
1296747241,0.0707169,0.0184912,-0.00663782,0.964601,-0.147748,0.0119758,-0.21811,0,0
1296747750,0.0706772,0.018487,-0.00667495,0.94364,-0.216289,0.0257863,-0.249194,0,0
1296784295,0.0678301,0.0181866,-0.00934096,0.934791,-0.239692,0.0302849,-0.260378,0,0
1296810391,0.0657969,0.017972,-0.0112447,0.929953,-0.251424,0.0325193,-0.266299,0,0
1296813151,0.0655819,0.0179493,-0.011446,0.929902,-0.251547,0.0325474,-0.266361,0,0
1296814362,0.0654876,0.0179394,-0.0115344,0.929782,-0.251833,0.0326158,-0.266498,0,0
1296838851,0.0635797,0.017738,-0.0133209,0.918044,-0.278523,0.0388283,-0.279485,0,0
1296858185,0.0620734,0.017579,-0.0147313,0.886236,-0.346242,0.0619108,-0.301447,0,0
1296859722,0.0619536,0.0175664,-0.0148435,0.883771,-0.351035,0.063603,-0.302782,0,0
1296897079,0.0643743,0.00420524,-0.0117007,0.87494,-0.368242,0.06905,-0.306774,0,0
1296909156,0.0637441,0.00320256,-0.0122306,0.868764,-0.379952,0.0733384,-0.309042,0,0
1296927557,0.0627839,0.00167485,-0.013038,0.850357,-0.413137,0.0858801,-0.31438,0,0
1296928928,0.0627123,0.00156103,-0.0130982,0.847621,-0.417771,0.0881357,-0.315022,0,0
1296942919,0.0619822,0.000399448,-0.013712,0.844311,-0.423501,0.0906743,-0.315537,0,0
1296948494,0.0616913,-6.34065e-05,-0.0139566,0.829873,-0.447778,0.100447,-0.31736,0,0
1296964177,0.0608729,-0.00136546,-0.0146448,0.812969,-0.472028,0.112438,-0.321913,0,0
1296975546,0.0602796,-0.00230935,-0.0151436,0.812619,-0.472486,0.112594,-0.322073,0,0
