control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
0.374954,-0.034759,-0.0152991,0.0350125,0.00787796,-0.0079889,-0.00694067,-0.0304054,0.0029966,0.00743887,-0.00921205,-0.00363182,-0.00263886,nan,nan,nan,0.00743887,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00371943,0.121616,-0.0119873,-5.89393e-05,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0162674,-0.00290077,-0.000560967,2.51336e-11,0.00199902,4.91431e-07,0.00200049,nan,nan,nan,nan,nan,nan,nan,nan,1782374399898173,0,0,0
0.383844,-0.0346731,-0.0151851,0.035051,0.00762,-0.0058785,-0.0067719,-0.0303594,0.00297105,0.00731849,0.00455102,-0.00234783,-0.0132733,nan,nan,nan,0.00743887,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00371943,0.121432,-0.0118874,0.000210777,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0197081,-0.00180911,-0.000493269,0,0.00199974,1.31006e-07,0.00200013,nan,nan,nan,nan,nan,nan,nan,nan,1782374399907105,0,0,0
0.399772,-0.0345842,-0.0150726,0.0350874,0.00837239,-0.00717975,-0.00663961,-0.0303816,0.00296763,0.00723236,-0.00303448,5.6262e-07,-0.00938842,nan,nan,nan,0.00723236,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00361617,0.121521,-0.0118729,0.000114905,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.017884,0.000162035,3.6605e-05,0.000228086,0.00177191,0.002,7.8769e-13,nan,nan,nan,nan,nan,nan,nan,nan,1782374399928108,0,0,0
0.410436,-0.0344932,-0.0149605,0.0351238,0.00870928,-0.00495745,-0.00625889,-0.0304227,0.0029127,0.007143,-0.00511938,-0.00572334,-0.00992673,nan,nan,nan,0.00723236,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00361617,0.12178,-0.0118844,-4.853e-05,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0205419,-0.00365822,0.00028307,7.41592e-07,0.00199926,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782374399938539,0,0,0
0.420131,-0.0343927,-0.0148395,0.0351574,0.00998471,-0.00468014,-0.00647282,-0.0304376,0.0029508,0.00708632,-0.0021834,0.00449741,-0.00594642,nan,nan,nan,0.00708632,nan,nan,nan,0,0,100,0,0.999994,0,0,0.00354315,0.12159,-0.0117927,-8.53993e-05,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0205419,-0.00365822,0.00028307,7.41592e-07,0.00199926,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782374399938539,0,0,0
0.438676,-0.0341795,-0.0145844,0.0352187,0.0116222,-0.00331863,-0.00676108,-0.0304292,0.00291671,0.00710241,-0.0058579,-0.000859445,0.00451622,nan,nan,nan,0.00710241,nan,nan,nan,0,0,100,0,0.999994,0,0,0.0035512,0.121791,-0.011494,-0.000224694,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0192102,0.000351308,0.00024837,0.000495704,0.0015043,0.002,3.22672e-13,nan,nan,nan,nan,nan,nan,nan,nan,1782374399968470,0,0,0
0.445145,-0.0339372,-0.0143243,0.0352738,0.0125736,-0.00165849,-0.00569515,-0.0303578,0.00286088,0.00723759,0.00676691,-0.00047115,0.00697455,nan,nan,nan,0.00710241,nan,nan,nan,0,0,100,0,0.999994,0,0,0.0035512,0.121426,-0.0114423,-0.000292479,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0192102,0.000351308,0.00024837,0.000495704,0.0015043,0.002,3.22672e-13,nan,nan,nan,nan,nan,nan,nan,nan,1782374399968470,0,0,0
0.458289,-0.033809,-0.0141902,0.0353014,0.013113,-3.49041e-05,-0.00601029,-0.030419,0.0027993,0.0073532,-0.00729581,-0.00712414,0.0127793,nan,nan,nan,0.0073532,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00367659,0.121671,-0.0111947,-0.000442865,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.016309,-0.00219635,9.81562e-06,2.58459e-07,0.00199974,6.94564e-14,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782374399978951,0,0,0
0.467182,-0.0336742,-0.0140236,0.035386,0.0127865,-0.000896372,-0.00627359,-0.0305011,0.00277927,0.00741351,-0.00966546,-0.00236437,0.00686376,nan,nan,nan,0.0073532,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00367659,0.121999,-0.0111158,-0.000287509,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0202929,-0.000713191,-0.000422602,0,0.002,0.000990636,0.00100936,nan,nan,nan,nan,nan,nan,nan,nan,1782374399998408,0,0,0
0.480208,-0.0335451,-0.0138663,0.0354718,0.0135449,6.91998e-05,-0.0056351,-0.0304522,0.00274773,0.00742112,0.00492349,-0.00345549,0.00098158,nan,nan,nan,0.00742112,nan,nan,nan,0,0,100,0,0.999993,0,0,0.00371055,0.121804,-0.010991,-0.000138462,0,0,-0.001,-0.0354965,-0.015689,-1,0.00721118,Idle,,nan,nan,2,0.20944,1,1,1,0,0,-0.001,0.0151263,-0.0013556,-0.000493573,3.07619e-12,0.002,8.23621e-05,0.00191764,nan,nan,nan,nan,nan,nan,nan,nan,1782374400008882,0,0,0
