timestamp_us,yaw_err,pitch_err,roll_err,curr_yaw,curr_pitch,curr_roll,target_yaw,target_pitch,target_roll,att_0,att_1,att_2,U1,U2,U3,U4,n0,n1,n2,n3
27644125930,-0.00548751,0.000328352,0.0019183,0.00548751,-0.000328352,-0.0019183,0,0,0,0.00672492,0.00114646,-0.00548753,2.88628,0.000563132,9.60024e-05,-0.000459515,0.721504,0.721967,0.721408,0.721404
27644133856,-0.00552252,0.00076387,0.00340532,0.00552252,-0.00076387,-0.00340532,0,0,0,0.0119294,0.0026767,-0.00552254,2.88628,0.000998944,0.000224142,-0.000462447,0.721567,0.722186,0.721343,0.721187
27644141898,-0.00555707,-0.000293859,0.002136,0.00555707,0.000293859,-0.002136,0,0,0,0.00746679,-0.00103618,-0.00555709,2.88628,0.000625255,-8.67674e-05,-0.00046534,0.721411,0.722,0.721498,0.721375
27644150136,-0.00559399,0.00123908,0.00176634,0.00559399,-0.00123908,-0.00176634,0,0,0,0.00617952,0.00434788,-0.00559401,2.88628,0.000517461,0.000364083,-0.000468431,0.721636,0.721947,0.721272,0.721429
27644158034,-0.00562843,0.00110282,0.000139271,0.00562843,-0.00110282,-0.000139271,0,0,0,0.000475653,0.00385887,-0.00562845,2.88628,3.98303e-05,0.000323134,-0.000471316,0.721615,0.721709,0.721292,0.721669
27644166135,-0.00566134,9.64832e-05,0.00136942,0.00566134,-9.64832e-05,-0.00136942,0,0,0,0.00480187,0.000330395,-0.00566136,2.88628,0.0004021,2.76667e-05,-0.000474071,0.721466,0.72189,0.721439,0.721488
27644174048,-0.00569762,0.00106348,6.17188e-05,0.00569762,-0.00106348,-6.17188e-05,0,0,0,0.000206535,0.00372918,-0.00569764,2.88628,1.72948e-05,0.000312274,-0.000477109,0.721608,0.721699,0.721295,0.721682
27644181985,-0.00573074,0.000486728,0.00150889,0.00573074,-0.000486728,-0.00150889,0,0,0,0.00529161,0.00169937,-0.00573076,2.88628,0.000443109,0.000142302,-0.000479883,0.721522,0.721912,0.72138,0.721469
27644190117,-0.00576368,0.000322404,0.00303973,0.00576368,-0.000322404,-0.00303973,0,0,0,0.0106502,0.00112722,-0.00576369,2.88628,0.000891824,9.43914e-05,-0.00048264,0.721497,0.722137,0.721403,0.721246
27644198140,-0.00579951,0.00173746,0.00368313,0.00579951,-0.00173746,-0.00368313,0,0,0,0.0128956,0.00609138,-0.00579953,2.88628,0.00107985,0.00051008,-0.000485642,0.721705,0.722232,0.721194,0.721152
27644206082,-0.00583176,0.000309394,0.00284343,0.00583176,-0.000309394,-0.00284343,0,0,0,0.00994591,0.00107252,-0.00583178,2.88628,0.000832851,8.98111e-05,-0.000488342,0.721494,0.722109,0.721404,0.721277
27644272804,-0.00586715,0.00163212,0.00189826,0.00586715,-0.00163212,-0.00189826,0,0,0,0.00663706,0.00572202,-0.00586717,2.88628,0.000555774,0.000479151,-0.000491305,0.721688,0.721972,0.721209,0.721416
27644280743,-0.00589879,-3.58179e-06,0.00173186,0.00589879,3.58179e-06,-0.00173186,0,0,0,0.00606029,-2.43951e-05,-0.00589881,2.88628,0.000507477,-2.0428e-06,-0.000493955,0.721446,0.721948,0.721448,0.721441
27644288759,-0.00593413,0.00145835,0.00221282,0.00593413,-0.00145835,-0.00221282,0,0,0,0.00774836,0.00511482,-0.00593415,2.88628,0.000648833,0.000428305,-0.000496914,0.721661,0.72202,0.721233,0.721371
27644296645,-0.00596633,0.000421118,0.00340661,0.00596633,-0.000421118,-0.00340661,0,0,0,0.0119318,0.00146639,-0.00596635,2.88628,0.000999145,0.000122793,-0.000499611,0.721507,0.722195,0.721385,0.721196
27644304788,-0.00600089,0.000694457,0.00178628,0.00600089,-0.000694457,-0.00178628,0,0,0,0.00624024,0.00243258,-0.00600091,2.88628,0.000522546,0.0002037,-0.000502505,0.721547,0.721958,0.721343,0.721435
27644312781,-0.0060357,0.00197416,0.000843868,0.0060357,-0.00197416,-0.000843868,0,0,0,0.00294671,0.00691885,-0.00603571,2.88628,0.000246751,0.000579371,-0.000505419,0.721734,0.721821,0.721155,0.721574
27644320593,-0.00606726,0.000404271,0.00035736,0.00606726,-0.000404271,-0.00035736,0,0,0,0.00124723,0.00140357,-0.00606728,2.88628,0.000104441,0.000117532,-0.000508062,0.721503,0.72175,0.721385,0.721646
27644328806,-0.00610307,0.00193185,0.000731365,0.00610307,-0.00193185,-0.000731365,0,0,0,0.00256249,0.00677253,-0.00610309,2.88628,0.000214578,0.000567119,-0.000511061,0.721727,0.721806,0.72116,0.721591
27644336884,-0.00613497,0.000339374,0.00102511,0.00613497,-0.000339374,-0.00102511,0,0,0,0.00359003,0.00117626,-0.00613498,2.88628,0.000300622,9.8498e-05,-0.000513732,0.721492,0.72185,0.721393,0.721549
27644344856,-0.00616708,1.38608e-05,0.00256591,0.00616708,-1.38608e-05,-0.00256591,0,0,0,0.00899186,4.6153e-05,-0.00616709,2.88628,0.000752961,3.86476e-06,-0.00051642,0.721444,0.722076,0.72144,0.721324
27644353030,-0.00620295,0.000929398,0.00121254,0.00620295,-0.000929398,-0.00121254,0,0,0,0.00423408,0.00325953,-0.00620297,2.88628,0.000354554,0.000272947,-0.000519424,0.721578,0.721878,0.721305,0.721523
27644360841,-0.00623677,0.000762782,0.00274162,0.00623677,-0.000762782,-0.00274162,0,0,0,0.00960675,0.00266853,-0.00623679,2.88628,0.000804451,0.000223458,-0.000522257,0.721552,0.722104,0.721329,0.721299
27644368953,-0.00627309,0.00193722,0.00371591,0.00627309,-0.00193722,-0.00371591,0,0,0,0.0130128,0.00678878,-0.00627311,2.88628,0.00108966,0.00056848,-0.000525298,0.721724,0.722247,0.721155,0.721157
27644376960,-0.0063058,0.000395758,0.00309163,0.0063058,-0.000395758,-0.00309163,0,0,0,0.0108162,0.00137398,-0.00630582,2.88628,0.000905726,0.000115054,-0.000528037,0.721496,0.722156,0.721381,0.72125
27644384858,-0.00634233,0.00175792,0.00375352,0.00634233,-0.00175792,-0.00375352,0,0,0,0.0131421,0.00616261,-0.00634235,2.88628,0.0011005,0.000516045,-0.000531096,0.721696,0.722254,0.72118,0.721153
