control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_x,torque_sp_y,torque_sp_z,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
0.263431,0.031414,0.00560042,0.0252014,-0.00409515,-0.0034764,0.00139958,-0.0324027,-0.000532294,-0.0544866,-0.00173385,-0.00638514,0.00930276,nan,nan,nan,-0.0544866,nan,nan,nan,0,0,100,0,0.999628,-0,0,-0.0272871,0.12944,0.00213426,-0.0001301,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0186892,0.00165284,-0.000526009,0.00199984,0,0.00200008,7.84199e-08,nan,nan,nan,nan,nan,nan,nan,nan,1782373974829393,0,0,0
0.280022,0.0311061,0.0054062,0.0253522,-0.0026306,-0.0016144,0.00232757,-0.0325012,-0.000491942,-0.0544982,-0.0195598,-0.00801287,-0.00729061,nan,nan,nan,-0.0544982,nan,nan,nan,0,0,100,0,0.999629,-0,0,-0.0272457,0.129849,0.00202263,-8.66755e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.023714,-0.000590007,-0.000569397,0,0.002,0.0011648,0.000835198,nan,nan,nan,nan,nan,nan,nan,nan,1782373974839820,0,0,0
0.288027,0.0308061,0.00522994,0.0254956,-0.00400244,-0.00152273,0.00170342,-0.0323997,-0.000382124,-0.054569,-0.00655013,0.00313127,-0.00792035,nan,nan,nan,-0.0544982,nan,nan,nan,0,0,100,0,0.999629,-0,0,-0.0272457,0.129593,0.00152658,0.000228995,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0174593,0.00057784,-0.000463659,0.000352556,0.000720342,0.00246342,0.000463678,nan,nan,nan,nan,nan,nan,nan,nan,1782373974848803,0,0,0
0.30185,0.030669,0.00514144,0.0255622,-0.00497191,-0.00209142,0.0018016,-0.0325644,-0.000525157,-0.054678,-0.0183939,-0.0160424,-0.0123736,nan,nan,nan,-0.054678,nan,nan,nan,0,0,100,0,0.999626,-0,0,-0.0273356,0.130252,0.00209784,0.000329159,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0195937,-0.00145155,-0.000365427,6.41924e-13,0.00199998,1.24521e-08,0.00200001,nan,nan,nan,nan,nan,nan,nan,nan,1782373974859321,0,0,0
0.309129,0.0305273,0.00506928,0.0256332,-0.00322078,-0.000638307,0.00243803,-0.0324718,-0.000274502,-0.0548863,0.0103557,0.0282357,-0.021834,nan,nan,nan,-0.054678,nan,nan,nan,0,0,100,0,0.999626,-0,0,-0.0273356,0.129881,0.00109263,0.000595549,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0169632,-0.00372524,0.000396635,7.63533e-07,0.00199924,2.09993e-12,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782373974880226,0,0,0
0.323778,0.0304116,0.00500542,0.0256974,-0.0041011,-0.000941853,0.00317973,-0.0324893,-0.000427318,-0.0550636,-0.00191612,-0.016778,-0.0198525,nan,nan,nan,-0.0550636,nan,nan,nan,0,0,100,0,0.999621,-0,0,-0.0275283,0.129951,0.00170471,0.000515904,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.020477,0.00225565,0.000772746,0.00199972,2.77185e-07,0.002,9.11859e-12,nan,nan,nan,nan,nan,nan,nan,nan,1782373974889256,0,0,0
0.332727,0.0302945,0.00495921,0.0257603,-0.00227722,0.00194166,0.00228139,-0.0326561,-0.000330564,-0.0551237,-0.0185779,0.0106425,-0.00590154,nan,nan,nan,-0.0550636,nan,nan,nan,0,0,100,0,0.999621,-0,0,-0.0275283,0.130612,0.00171485,6.0318e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0237368,0.000983768,0.000970199,0.00138995,0.000610052,0.002,2.77939e-11,nan,nan,nan,nan,nan,nan,nan,nan,1782373974899683,0,0,0
0.343664,0.0301913,0.00492697,0.0258281,-0.00364192,0.0023703,0.00269525,-0.0325826,-0.000530227,-0.0551331,0.00814515,-0.0224103,-0.0013359,nan,nan,nan,-0.0551331,nan,nan,nan,0,0,100,0,0.99962,-0,0,-0.0275631,0.129752,0.00171649,-7.54155e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0237368,0.000983768,0.000970199,0.00138995,0.000610052,0.002,2.77939e-11,nan,nan,nan,nan,nan,nan,nan,nan,1782373974899683,0,0,0
0.361565,0.0300112,0.00487984,0.0259525,-0.000149601,0.0033094,0.00219045,-0.0326312,-0.000585573,-0.0548607,-0.0191498,-0.0223269,0.0170431,nan,nan,nan,-0.0548607,nan,nan,nan,0,0,100,0,0.999624,-0,0,-0.0274269,0.13062,0.00246514,-0.000153976,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0209491,0.00218202,4.84898e-05,0.00199975,2.53105e-07,0.002,1.28302e-12,nan,nan,nan,nan,nan,nan,nan,nan,1782373974929617,0,0,0
0.366873,0.0298244,0.00480688,0.0260326,0.000738923,0.00471871,0.00290918,-0.0324785,-0.000685793,-0.0545659,0.0140299,-0.0106064,0.0157741,nan,nan,nan,-0.0548607,nan,nan,nan,0,0,100,0,0.999624,-0,0,-0.0274269,0.129908,0.00274691,-0.000364275,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0209491,0.00218202,4.84898e-05,0.00199975,2.53105e-07,0.002,1.28302e-12,nan,nan,nan,nan,nan,nan,nan,nan,1782373974929617,0,0,0
0.379977,0.0297391,0.00477907,0.0260684,0.0018748,0.0051628,0.00192913,-0.0325618,-0.000688138,-0.0544755,-0.00918395,-0.000918146,0.0103634,nan,nan,nan,-0.0544755,nan,nan,nan,0,0,100,0,0.999629,-0,0,-0.0272344,0.130241,0.00275498,-0.000221708,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.014666,0.00169719,-0.000410234,0.00199981,0,0.00200009,9.3105e-08,nan,nan,nan,nan,nan,nan,nan,nan,1782373974940089,0,0,0
0.392033,0.0296581,0.00476065,0.0261029,0.000808726,0.00643964,0.00240886,-0.0326173,-0.000827245,-0.0544015,-0.00616093,-0.0161575,0.00812259,nan,nan,nan,-0.0544755,nan,nan,nan,0,0,100,0,0.999629,-0,0,-0.0272344,0.130463,0.003311,-0.000169333,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0206904,0.00270651,-0.000870965,0.00199915,0,0.00200043,4.26275e-07,nan,nan,nan,nan,nan,nan,nan,nan,1782373974959549,0,0,0
0.403726,0.0295796,0.00475225,0.0261403,0.0017957,0.00721366,0.00221322,-0.0324302,-0.000803831,-0.0544496,0.0208773,0.00246789,-0.00491712,nan,nan,nan,-0.0544496,nan,nan,nan,0,0,100,0,0.999629,-0,0,-0.0272214,0.129715,0.00321416,0.000171042,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0206904,0.00270651,-0.000870965,0.00199915,0,0.00200043,4.26275e-07,nan,nan,nan,nan,nan,nan,nan,nan,1782373974959549,0,0,0
0.410239,0.0295025,0.00475027,0.0261726,0.00126145,0.00725549,0.00198848,-0.032492,-0.000884029,-0.0545571,-0.00686042,-0.00884017,-0.0119117,nan,nan,nan,-0.0544496,nan,nan,nan,0,0,100,0,0.999629,-0,0,-0.0272214,0.129962,0.00353342,0.000340987,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0238731,0.00121934,-0.000457087,0.00144618,0,0.00227683,0.000276985,nan,nan,nan,nan,nan,nan,nan,nan,1782373974959549,0,0,0
0.424485,0.0293614,0.00476442,0.0262339,0.000580178,0.00876728,0.00263515,-0.0325289,-0.000862615,-0.0548611,0.0169521,0.000805363,-0.0180094,nan,nan,nan,-0.0546954,nan,nan,nan,0,0,100,0,0.999626,-0,0,-0.0273443,0.129813,0.0035812,0.000217685,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0125989,0.00046472,0.000366694,0.000656058,0.00134394,0.002,5.43881e-12,nan,nan,nan,nan,nan,nan,nan,nan,1782373974999957,0,0,0
0.436163,0.0292938,0.00478078,0.0262686,0.00264785,0.00947273,0.00241739,-0.0324994,-0.000884732,-0.0549674,0.00333173,-0.00235916,-0.0116571,nan,nan,nan,-0.0549674,nan,nan,nan,0,0,100,0,0.999622,-0,0,-0.0274802,0.130452,0.00357716,0.000131427,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0125989,0.00046472,0.000366694,0.000656058,0.00134394,0.002,5.43881e-12,nan,nan,nan,nan,nan,nan,nan,nan,1782373974999957,0,0,0
0.447961,0.0292345,0.00480868,0.0262985,0.00232249,0.0104421,0.00229124,-0.0326659,-0.000943543,-0.0549753,-0.0185181,-0.00677596,-0.000792551,nan,nan,nan,-0.0549674,nan,nan,nan,0,0,100,0,0.999622,-0,0,-0.0274802,0.130548,0.00387786,2.36351e-05,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0185967,0.00265543,0.000600423,0.00199959,4.09307e-07,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan,1782373975019413,0,0,0
0.45833,0.029127,0.00489216,0.0263164,0.00330552,0.0119753,0.00241234,-0.0324493,-0.000978069,-0.0548384,0.0125174,-0.0003627,0.0146282,nan,nan,nan,-0.0548384,nan,nan,nan,0,0,100,0,0.999624,-0,0,-0.0274158,0.129791,0.00391572,-0.000316026,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0185967,0.00265543,0.000600423,0.00199959,4.09307e-07,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan,1782373975019413,0,0,0
0.46744,0.0290806,0.0049317,0.0262951,0.00491955,0.0130806,0.00220505,-0.0325822,-0.0010593,-0.0546834,-0.0146431,-0.00979571,0.0171836,nan,nan,nan,-0.0548384,nan,nan,nan,0,0,100,0,0.999624,-0,0,-0.0274158,0.130323,0.00424134,-0.000385768,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0145432,0.00043412,0.000393603,0.000612792,0.00138721,0.002,1.26078e-11,nan,nan,nan,nan,nan,nan,nan,nan,1782373975029889,0,0,0
0.481335,0.0290391,0.00498026,0.0262803,0.00428761,0.0136689,0.00317271,-0.0325603,-0.00103713,-0.0545765,0.00252666,0.00185549,0.0123474,nan,nan,nan,-0.0545765,nan,nan,nan,0,0,100,0,0.999628,-0,0,-0.0272848,0.130235,0.00415143,-0.000252095,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0234486,0.00313083,2.00511e-05,0.00199944,5.66184e-07,0.002,0,nan,nan,nan,nan,nan,nan,nan,nan,1782373975038961,0,0,0
0.488537,0.0290023,0.00503918,0.0262686,0.00591064,0.0148031,0.00265094,-0.032401,-0.00108159,-0.0544715,0.0178045,-0.00554853,0.0118115,nan,nan,nan,-0.0545765,nan,nan,nan,0,0,100,0,0.999628,-0,0,-0.0272848,0.129598,0.00432917,-0.000244856,0,0,-0.001,0.0338018,0.00859661,-1,-0.0548287,Idle,,nan,nan,nan,nan,1,1,1,0,0,-0.001,0.0156028,0.0020659,-0.000643108,0.00199957,0,0.00200021,2.14735e-07,nan,nan,nan,nan,nan,nan,nan,nan,1782373975059912,0,0,0
