time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
1.08,0.999958,-0.00893887,0.00136142,-0.00162444,0.00341054,0.000491875,-0.00105972,0.0670082,0.00969153,0.0493577,0.00866653,0.0270198,0.0991561,33.9085,-0.0182907,0.0156663,-0.0485216
1.1,0.999958,-0.00892514,0.00136558,-0.0016177,0.00194453,0.00089164,0.00373398,0.0670839,0.00986862,0.0493413,0.00866369,0.0259698,0.0991219,33.8176,0.00710948,0.0233612,0.184387
1.12,0.999958,-0.00892855,0.00136885,-0.00161265,-0.00111812,-0.000306777,0.00053819,0.0671976,0.0100945,0.0492426,0.00879424,0.0245505,0.0988516,33.3583,-0.0116357,0.00276961,-0.000700714
1.14,0.999958,-0.00891683,0.00138644,-0.00160064,0.00100965,0.00222432,0.00013873,0.0674358,0.0104863,0.0483924,0.00882688,0.0264076,0.0983057,34.5465,-0.01304,0.0320015,0.0390648
1.16,0.999958,-0.00891102,0.00140021,-0.00161546,0.00100965,0.00209116,-0.00265759,0.0675055,0.0106394,0.048366,0.00878949,0.0268973,0.098183,33.8658,-0.00657615,-0.0218063,-0.0393139
1.18,0.999958,-0.00890703,0.00139508,-0.00162355,0.00140912,-0.00137095,-0.0019918,0.0675394,0.0107237,0.048387,0.00855574,0.0273125,0.0980548,35.1358,-0.0204018,0.0165944,-0.050631
1.2,0.999958,-0.00887676,0.00139082,-0.00164102,0.000478021,-0.00310215,-0.00105813,0.067705,0.0111621,0.0485751,0.00836643,0.027288,0.0982781,33.7862,-0.00206339,-0.0105276,-0.174999
1.22,0.999958,-0.00889902,0.00137897,-0.00163163,-0.00205323,-0.000438632,-0.000125992,0.0678611,0.0115239,0.0483237,0.00860306,0.0273529,0.0978943,34.3122,-0.0161003,-0.00153576,-0.0523688
1.24,0.999958,-0.00889148,0.00135272,-0.00160546,-0.000189006,9.39921e-05,-0.000658634,0.0679664,0.011772,0.0484566,0.00873482,0.0271948,0.0977923,33.5887,0.00254765,0.01988,-0.0287241
1.26,0.999958,-0.0088878,0.00136826,-0.00161789,0.00127572,0.00382241,-0.00305548,0.0680028,0.0118607,0.0485456,0.00885458,0.0274567,0.0978348,31.3717,-0.00753174,0.0060398,0.0612665
1.28,0.999958,-0.00888996,0.0013498,-0.00163388,-0.000724001,-0.00123658,-0.000392299,0.0682129,0.0123976,0.0493469,0.00896107,0.0282847,0.0990748,36.3489,-0.00332758,0.00524135,0.126295
1.3,0.999958,-0.0088996,0.00134235,-0.00161472,0.00113869,-0.00270097,0.00187141,0.0683255,0.0126161,0.0491406,0.00843142,0.0284773,0.0989067,33.9406,-0.00789077,0.0125016,0.113054
1.32,0.999958,-0.00889856,0.00134376,-0.00161529,0.000739221,0.000228506,-0.000125967,0.0683531,0.012678,0.0491514,0.00839734,0.0282144,0.0988887,36.1282,-0.0335393,0.0201702,0.0539223
1.34,0.999958,-0.00890016,0.00135207,-0.0016159,7.24374e-05,0.00195951,-0.000125689,0.0683807,0.0127419,0.0491865,0.00827332,0.0282929,0.0990226,35.1452,-0.0125526,0.0259532,0.0806877
1.36,0.999958,-0.00888626,0.00138524,-0.00163697,-0.000327033,-0.000304177,-0.00145727,0.0685828,0.0133182,0.050063,0.00811612,0.0294662,0.0995648,32.9062,-0.0298962,0.0224502,-0.0438384
1.38,0.999958,-0.00887253,0.00139332,-0.00164829,0.000603202,-0.00256738,-0.00065831,0.0687102,0.0136958,0.0505042,0.00796019,0.0298444,0.100203,32.5723,-0.00708741,0.027415,0.0419415
1.4,0.999958,-0.00888319,0.00137819,-0.00164658,-0.00219311,-0.00389896,0.000406951,0.0687348,0.0137646,0.050554,0.00782917,0.0298126,0.100381,37.1695,-0.0120325,0.0370338,0.169005
1.42,0.999958,-0.00886935,0.00138167,-0.00166326,0.00260057,-0.00243422,-0.00145726,0.0688327,0.0140318,0.050742,0.00766651,0.0302862,0.101007,32.8897,0.0045225,-0.00610486,-0.0802895
1.44,0.999959,-0.00883684,0.00136852,-0.00168976,0.00113183,-0.00190027,-0.000125652,0.0689101,0.014186,0.0503238,0.00758308,0.0300919,0.101101,35.7347,-0.0084472,-0.00417836,-0.104582
1.46,0.999959,-0.00883199,0.00136736,-0.00168665,0.00179762,-0.000435538,0.000806459,0.0689276,0.0142284,0.0503173,0.00768126,0.0299726,0.10106,33.5847,-0.00430208,0.00945728,0.00102429
1.48,0.999959,-0.0088303,0.00136141,-0.00168137,0.000998675,-0.00163396,0.00133909,0.0689465,0.0142738,0.0503352,0.00784367,0.0300258,0.101069,34.7933,0.00250585,-0.0168836,0.0697627
1.5,0.999957,-0.00899181,0.00132606,-0.00168882,0.00525782,0.000230764,7.61898e-06,0.0690544,0.0146048,0.0504689,0.00753947,0.0326149,0.100706,35.4021,-0.023032,0.0136161,-0.0579391
1.52,0.999958,-0.00895468,0.00128561,-0.00169646,0.000730453,0.000363929,-0.0027887,0.0691926,0.0148711,0.050483,0.00855901,0.0286829,0.101117,33.1048,-0.0219065,0.0143281,-0.10409
1.54,0.999958,-0.00894593,0.00128958,-0.00170671,0.00272782,0.00089657,-0.00252239,0.0692202,0.0149136,0.0505714,0.00850706,0.0284547,0.10126,35.5739,-0.0243034,0.034468,0.0665993
1.56,0.999958,-0.0089563,0.00129356,-0.00171693,-0.00206587,0.000896574,-0.00252239,0.0692474,0.0149579,0.0506817,0.00833035,0.0282231,0.101311,32.2916,-0.00873719,0.0311734,-0.110743
1.58,0.999957,-0.00896607,0.00133125,-0.00171597,-0.000201657,0.00249446,-0.00052502,0.0694009,0.0152352,0.0515722,0.00887857,0.0291241,0.102504,33.6308,-0.0179643,-0.0140418,-0.00340256
1.6,0.999957,-0.00898672,0.00131873,-0.00167568,-0.00247004,-0.000300682,0.0036029,0.0695114,0.0153458,0.051853,0.00892823,0.0300595,0.102518,36.2538,-0.0102441,-0.00190496,0.0379599
1.62,0.999957,-0.00898269,0.00131811,-0.001671,0.00165786,-0.000300662,0.00120607,0.0695402,0.0153649,0.0518487,0.00884417,0.0301699,0.102243,34.4494,-0.0183249,0.0251921,0.0234177
1.64,0.999958,-0.00896903,0.00130999,-0.00166786,0.0040547,-0.00216488,0.00080659,0.0695693,0.0153888,0.0518679,0.00892914,0.0301484,0.102277,33.0467,-0.0250597,-0.000339587,0.0617315
1.66,0.999958,-0.00894066,0.00135208,-0.00164679,-0.00180389,0.00249608,0.00227262,0.0698142,0.0156897,0.0526598,0.00975085,0.0301729,0.103341,32.9087,-0.0248114,0.019614,0.0176158
1.68,0.999958,-0.00892209,0.00135673,-0.00165402,0.00165597,-0.0026967,-0.00105632,0.0700213,0.0158548,0.053095,0.0102031,0.0302711,0.103664,36.9598,0.0101259,0.00372659,0.251983
1.7,0.999958,-0.00891889,0.00135171,-0.00165457,0.00138966,-0.00136511,-0.000124217,0.0700655,0.0158808,0.0531441,0.010211,0.0301974,0.103751,33.2714,-0.0141948,-0.00782376,-0.115133
1.72,0.999958,-0.00893578,0.00135066,-0.00166317,-0.000740866,-0.00216406,-0.00145579,0.0701546,0.0159441,0.0533192,0.0101711,0.0300433,0.104386,36.129,-0.00274046,-0.00280929,-0.136095
1.74,0.999958,-0.0089428,0.0013531,-0.00165169,0.00112334,0.000898571,0.000807892,0.0704,0.0161861,0.0541758,0.0106911,0.0308688,0.105709,31.9612,-0.0126645,-0.00969757,-0.0643875
1.76,0.999958,-0.00892637,0.00131239,-0.00165189,0.0019174,-0.00242899,-0.000789987,0.0706371,0.0162011,0.0541845,0.0114077,0.03064,0.105616,39.0925,-0.00224416,-0.00287382,-0.0546802
1.78,0.999958,-0.0089252,0.00131006,-0.00165952,0.00098446,-0.000697948,-0.00185622,0.0706868,0.0162085,0.0542089,0.0112579,0.0307019,0.105508,34.8806,-0.0285686,0.0204387,-0.0320256
1.8,0.999958,-0.00892402,0.00133544,-0.0016693,-0.000881646,-0.00282821,0.00120641,0.0709356,0.0160813,0.0535858,0.0112827,0.0297294,0.105524,35.0274,0.00494817,0.000975841,0.00901779
