timestamp_us,px,py,pz,qw,qx,qy,qz
1257249363,0.0613415,-0.0109125,0.00869712,0.99993,-0.000175945,-0.00887796,-0.00781536
1257380904,0.0556676,-0.0125724,0.0276485,0.999932,-0.000527193,-0.00808461,-0.00843642
1257463149,0.0559205,-0.0134523,0.0274136,0.99993,-0.0012309,-0.00813644,-0.00844807
1257584256,0.0632187,-0.0120928,-0.0145253,0.999933,-0.00287495,-0.00872909,-0.00705576
1257693868,0.0647149,-0.0145868,-0.0241054,0.999925,-0.00349315,-0.00936834,-0.00709247
1257797586,0.0651142,-0.0161681,-0.0261915,0.999922,-0.00407044,-0.00940844,-0.00713018
1258052507,0.0653096,-0.0164054,-0.0276123,0.999922,-0.00410722,-0.0094247,-0.00716188
1258128724,0.0653933,-0.0169205,-0.0281663,0.999921,-0.00432171,-0.00942205,-0.00717026
1258290610,0.0640467,-0.00924801,-0.00265068,0.999923,0.00127534,-0.00990767,-0.0073499
1258428770,0.0600535,-0.0123044,0.0193225,0.999959,0.00219287,-0.00652026,-0.00593764
1258529345,0.0604366,-0.0175916,0.0372385,0.99997,0.000551252,-0.00428492,-0.00647545
1258616460,0.0641939,-0.022116,0.013488,0.999907,-0.00564194,-0.00996746,-0.00740996
1258694755,0.0661464,-0.0240224,-0.00208553,0.999888,-0.0073258,-0.0109792,-0.00711305
1258764697,0.0669119,-0.0259945,-0.0122433,0.999871,-0.0085689,-0.0116474,-0.00699249
1259008711,0.0672826,-0.027109,-0.0187346,0.99986,-0.00931583,-0.0120498,-0.00693551
1259124785,0.0569787,-0.0283291,0.0245272,0.999961,0.00133988,-0.00473676,-0.00739849
1259240127,0.0662755,-0.0156759,0.0140161,0.999929,-0.000145686,-0.00912537,-0.0077043
1259387485,0.0575413,-0.015564,0.0181376,0.999957,-0.00068395,-0.00603978,-0.00700107
1259557709,0.0571616,-0.015324,0.0186158,0.999958,-0.000436579,-0.00596564,-0.00697008
1259715073,0.0570275,-0.0152344,0.0188006,0.999958,-0.000351009,-0.00593889,-0.00696015
1259833023,0.0569269,-0.0151433,0.0190703,0.999958,-0.000333012,-0.00590547,-0.00699514
1260128666,0.056761,-0.014978,0.019282,0.999958,-0.00026197,-0.00587894,-0.00697788
1260236707,0.0592992,-0.0138791,0.0207722,0.999982,0.00124085,-0.00364493,-0.00457185
1260485489,0.0654102,-0.013949,0.0146843,0.99992,-0.000986308,-0.00958123,-0.00815743
1260589565,0.0606909,-0.0207832,0.0218265,0.999923,-0.00201832,-0.00706602,-0.0100302
1260722020,0.0613816,-0.0176528,0.0172489,0.999927,-0.00300025,-0.00881408,-0.00769374
1260791411,0.0622153,-0.0124326,0.0208761,0.999918,0.00476526,-0.0077212,-0.00899016
1261073092,0.0611437,-0.00828632,0.0239068,0.999922,0.00576647,-0.00725589,-0.00834531
1261137873,0.0737134,-0.0195779,0.0116423,0.999846,0.00072118,-0.0127801,-0.0120369
1261177650,0.0759527,-0.01977,0.0083509,0.999845,0.000378038,-0.0131322,-0.0117263
1261223527,0.076644,-0.0209592,0.00641746,0.999844,-0.000191528,-0.0134176,-0.0115019
1261267919,0.078353,-0.0214442,0.00550794,0.999835,-0.000466956,-0.0141408,-0.0113551
1261327640,0.0521362,-0.0212618,0.0205647,0.99999,-0.00010173,-0.00120254,-0.00440612
1261381091,0.0621194,-0.0136462,0.0108313,0.999925,-0.00294524,-0.00888829,-0.00788789
1261503199,0.0771051,0.00129085,-0.0226098,0.999892,0.00321244,-0.0101927,-0.0100617
1261587341,0.0769447,-0.00690723,-0.011194,0.999906,-0.00194623,-0.0103735,-0.00873065
1261709769,0.071598,-0.0144358,-0.00586054,0.999907,-0.00127516,-0.0105351,-0.00859667
1261810706,0.0713385,-0.0159456,-0.00586338,0.999907,-0.00199122,-0.0105847,-0.00839424
1262084240,0.0711439,-0.0167295,-0.00584643,0.999906,-0.00231056,-0.0106178,-0.00838956
1262177006,0.0710403,-0.0171665,-0.00584387,0.999905,-0.00248413,-0.0106359,-0.00838834
1262286078,0.0542058,-0.0138543,0.0150301,0.999979,0.00067448,-0.00456171,-0.00463083
1262349737,0.0618385,-0.0108776,0.02249,0.999946,0.00385644,-0.00567499,-0.00786429
1262412335,0.0631551,-0.0115347,0.0220909,0.999945,0.00372995,-0.00574887,-0.00791754
1262513664,0.0615625,-0.0178151,0.0365695,0.999962,0.00232568,-0.00652934,-0.00524095
1262649909,0.0546243,-0.00653975,0.0225975,0.999938,0.00218193,-0.00726574,-0.00812705
1262814322,0.0653461,-0.0148312,0.0130031,0.999947,-0.00157154,-0.00736225,-0.00696691
1262930682,0.066321,-0.015886,0.0128935,0.999945,-0.00174404,-0.00747141,-0.00716577
1263254772,0.0623401,-0.0126107,-0.00962536,0.999933,-0.000780434,-0.00876369,-0.00757895
