timestamp_us,qw,qx,qy,qz,avx,avy,avz,ax,ay,az
386004141,-0.214084,-0.000822281,0.000804552,-0.976815,0.0173766,0.0769451,0.00171241,0.0144027,-0.149721,0.0296087
386012141,-0.214089,-0.00112642,0.00136744,-0.976813,0.0572939,0.0376181,0.00137412,0.0602292,-0.217919,0.00307525
386020186,-0.214094,-0.00130886,0.00186093,-0.976811,0.0721254,-0.000577433,0.00141111,0.0555749,-0.158108,0.00983834
386028117,-0.214098,-0.00146945,0.00236815,-0.976808,0.060821,-0.0289752,0.00139195,0.0811152,-0.165756,0.052579
386036076,-0.214103,-0.00154785,0.00280268,-0.976806,0.0766487,-0.0546182,0.00151808,0.0487624,-0.0753023,-0.0187198
386043987,-0.21411,-0.00141517,0.00177741,-0.976807,0.05708,-0.070664,0.00140992,0.0288582,0.0319944,0.039454
386143221,-0.214117,-0.0013928,0.000979318,-0.976807,0.0127699,-0.0852977,0.00125607,0.0437419,0.0446557,0.0561154
386151148,-0.214123,-0.000879322,0.000249813,-0.976806,-0.0116938,-0.0706675,0.00108227,-0.0389296,0.180743,0.0483244
386159197,-0.214128,-0.000630987,-0.000434581,-0.976805,-0.0306461,-0.0550696,0.000992816,0.0104118,0.177227,0.0670228
386167205,-0.214132,-0.000645634,-0.0009848,-0.976804,-0.0612957,-0.0221066,0.000953444,0.0311459,0.112489,0.0684315
386175123,-0.214137,-0.000536978,-0.00146426,-0.976802,-0.0753717,0.0167866,0.000935395,0.00112976,0.0618235,0.0659477
386183213,-0.214142,-0.000234974,-0.00164436,-0.976801,-0.0798014,0.0815189,0.00105195,-0.0347905,0.036851,0.058327
386190999,-0.214146,0.000118261,-0.00127211,-0.976801,-0.0705063,0.113438,0.000854985,-0.0560533,-0.00744585,0.059356
386199124,-0.214151,0.00028893,-0.00064813,-0.9768,-0.0514856,0.132353,0.000802863,-0.0569011,-0.0404635,0.0616627
386207147,-0.214155,0.000229811,0.00013307,-0.9768,-0.0301758,0.134974,0.000733283,-0.0377977,-0.0667562,0.0605597
386215057,-0.214158,-1.25279e-05,0.000961259,-0.976799,-0.0114387,0.1185,0.000635262,-0.0169355,-0.098302,0.0615653
386223416,-0.21416,-0.000346675,0.00175933,-0.976797,0.00330069,0.0893005,0.000324269,0.0107439,-0.112813,0.0620376
386231149,-0.214161,-0.000849694,0.00246622,-0.976795,0.0117957,0.0537849,0.000227008,0.0454044,-0.0820405,0.0583401
386239189,-0.214163,-0.00159326,0.00286323,-0.976792,0.00768596,0.0159235,0.000368076,0.064273,-0.0331656,0.0507091
386247204,-0.214167,-0.00231352,0.00271898,-0.97679,-0.00491035,-0.0158173,0.000505253,0.0584766,0.00553681,0.0474357
386333210,-0.214172,-0.00260833,0.00212705,-0.97679,-0.0215937,-0.0339943,0.000565964,0.0537514,0.0538068,0.0458248
386341030,-0.214176,-0.0023868,0.00141122,-0.976791,-0.0232413,-0.0575852,0.000481765,0.0194326,0.121514,0.00991311
386349098,-0.21418,-0.00189365,0.000733105,-0.976792,-0.0230418,-0.0617416,0.000398214,-0.0527793,0.207549,0.000697791
386357137,-0.214183,-0.00159632,5.77449e-05,-0.976792,-0.0304417,-0.0436986,0.000373683,-0.0107032,0.168755,0.0277673
386365144,-0.214186,-0.000892781,-0.000548679,-0.976792,-0.00797335,-0.0528173,0.000302281,-0.0497371,0.0814044,-0.0148341
386373234,-0.214188,2.42641e-05,-0.000668932,-0.976792,0.00377804,-0.0308296,0.000314638,-0.0209633,-0.00113874,0.018297
386381156,-0.214189,0.000278888,9.94e-07,-0.976792,0.0284876,-0.0294963,0.000353873,0.00800786,-0.0870101,-0.00820645
386389082,-0.21419,0.000926101,0.000420568,-0.976791,0.0404309,-0.0262333,0.000458961,-0.0413284,-0.0769708,-0.012498
386397209,-0.214192,0.00100794,0.00104955,-0.97679,0.0419852,-0.00470292,0.000475386,0.0116436,-0.123118,0.0165018
386405398,-0.214194,0.0012225,0.00158547,-0.976789,0.0619962,-0.0185981,0.000620653,0.00633718,-0.0897233,-0.0208073
386496980,-0.214197,0.00103991,0.00217409,-0.976787,0.0436401,-0.0151439,0.000581193,0.027786,-0.0344393,0.0211471
386504835,-0.214201,0.000417091,0.00231597,-0.976787,0.0398321,-0.0308094,0.000628267,0.0454913,-0.017228,-0.000191641
386512813,-0.214203,0.00056729,0.00141913,-0.976788,0.0228922,-0.0379693,0.000532497,0.0168692,0.0939158,0.00162376
386520708,-0.214205,0.00024999,0.0008002,-0.976788,-0.00906379,-0.037193,0.000321452,0.0704576,0.0710072,0.0249724
386528751,-0.214206,-0.000280717,0.00047931,-0.976788,-0.0322388,-0.0324855,0.000184892,0.0835041,0.0436231,0.0321244
386536770,-0.214207,-0.000586483,-2.55903e-05,-0.976788,-0.0490918,-0.0194798,4.0297e-05,0.0557014,0.07056,0.0367393
386544820,-0.214207,-0.000417161,-0.000630973,-0.976788,-0.0482548,-0.020006,-5.46314e-05,0.00455415,0.103174,0.00815381
386552896,-0.214208,-3.40436e-05,-0.001205,-0.976787,-0.0368369,-0.0071132,-8.70504e-05,-0.0579387,0.142125,0.00670166
386560800,-0.214208,-4.23585e-05,-0.00191158,-0.976786,-0.0232099,0.00840034,-3.73283e-05,0.0128672,0.0603188,0.0244261
386568737,-0.214207,-0.000405416,-0.00114771,-0.976787,-0.00310772,0.0204889,-3.34628e-07,0.0332125,-0.0467543,0.0258202
386576826,-0.214207,-0.000541042,-0.000371594,-0.976788,0.00668023,0.0262176,-5.39921e-05,0.022923,-0.114428,0.0245989
386652069,-0.214205,-0.000517972,0.000243015,-0.976789,0.0448112,0.0258075,-0.00030772,-0.00477754,-0.157944,0.00665678
386659698,-0.214203,-0.000133181,0.000657944,-0.976789,0.0564069,0.0228844,-0.000406584,-0.0496637,-0.100982,0.00270608
386667863,-0.2142,-0.000185991,0.00127407,-0.976789,0.0465766,0.0179535,-0.000442765,0.0160914,-0.123664,0.0319408
386675901,-0.214198,7.54249e-05,0.0017911,-0.976789,0.0626685,-0.0111029,-0.000428934,0.0115195,-0.0350972,-0.0166034
386683826,-0.214196,-0.00037716,0.00104638,-0.97679,0.0377274,-0.0234116,-0.000601261,0.0322903,0.00776521,0.0295563
386691820,-0.214194,-0.00095311,0.000701842,-0.97679,0.0286062,-0.0490124,-0.000792008,0.0520533,0.00329646,0.0103334
386699758,-0.214191,-0.000718092,-0.00015201,-0.976791,0.0115043,-0.0606753,-0.000975513,0.0192961,0.103883,0.0155869
386707800,-0.214188,-0.000602234,-0.000942185,-0.976792,0.000948444,-0.0778672,-0.00115929,0.0445541,0.0927447,0.00653728
386715931,-0.214184,-0.000281684,-0.00173269,-0.976792,-0.00489895,-0.077424,-0.00130255,0.0183067,0.107188,0.0215595
386723801,-0.214178,-0.000675747,-0.00215792,-0.976792,-0.0153,-0.061585,-0.00140594,0.062898,0.0288276,0.0548619
386732126,-0.214171,-0.0010985,-0.00153807,-0.976794,-0.0163381,-0.0368599,-0.00143136,0.056578,-0.036736,0.065596
386739856,-0.214165,-0.00102806,-0.000680006,-0.976797,-0.0150701,-0.00235153,-0.00142955,0.0154878,-0.0531438,0.062766
386747942,-0.214159,-0.000682961,1.89287e-05,-0.976799,-0.0142081,0.0354699,-0.00158588,-0.022882,-0.0562402,0.052665
386756062,-0.214152,-0.000344118,0.000591814,-0.9768,-0.0143454,0.0706931,-0.00169267,-0.0486221,-0.0562506,0.0468241
386763909,-0.214145,-4.96453e-05,0.00110008,-0.976801,-0.016825,0.0959054,-0.00182439,-0.0595263,-0.0504971,0.0512208
386846642,-0.214137,0.000358096,0.00125745,-0.976803,-0.00341899,0.0956851,-0.00183641,-0.0637057,-0.018992,0.0225546
386854573,-0.214129,0.000633882,0.000760552,-0.976805,0.000452296,0.0860136,-0.00197416,-0.0580674,0.0478686,0.0143393
386862626,-0.214121,-0.000285873,0.000341358,-0.976807,-0.0048041,0.0640653,-0.00208743,0.0101859,-0.00578744,0.0356966
