timestamp_us,px,py,pz,qw,qx,qy,qz
235274985,0.013949,-0.00594353,1.03949,0.996434,-0.00379625,-0.00382912,-0.0842047
235455258,0.0122897,-0.00566731,1.04471,0.996456,-0.00378293,-0.00282174,-0.0839859
235626408,0.0114439,-0.00517987,1.04846,0.996455,-0.00435319,-0.00367623,-0.0839331
235810751,0.010364,-0.00356821,1.04662,0.996475,-0.00359376,-0.00212126,-0.0837854
235938629,0.00933959,-0.000978916,1.04675,0.99648,-0.00347076,-0.00195891,-0.0837314
236125915,0.00906367,0.000546052,1.04833,0.996483,-0.00352762,-0.00380154,-0.083631
236298409,0.00635102,0.00201494,1.0456,0.996474,-0.00407728,-0.00492097,-0.0836596
236465351,0.00465588,0.00195991,1.04752,0.99649,-0.00417518,-0.00423961,-0.0835023
236604359,0.00181573,0.00393792,1.0479,0.996482,-0.00491147,-0.00535908,-0.083491
236816483,-0.00240933,0.00474408,1.04912,0.996505,-0.0040521,-0.00344484,-0.0833629
236959726,-0.00346244,0.0079073,1.04895,0.996476,-0.00491606,-0.00740705,-0.0834059
237104005,-0.00531238,0.0102773,1.04543,0.996504,-0.00447031,-0.00428465,-0.0833159
237296278,-0.00913616,0.0120386,1.0441,0.996515,-0.00509167,-0.00362063,-0.0831818
237459486,-0.0121361,0.0147131,1.04121,0.996521,-0.00380654,-0.00149215,-0.0832362
237646567,-0.0138546,0.0143707,1.04503,0.996538,-0.00230761,-8.97076e-05,-0.0831121
237826333,-0.0143705,0.0177066,1.0474,0.996537,-0.00276234,-0.00136134,-0.0830909
237996771,-0.0150559,0.0195842,1.04517,0.996541,-0.00315379,-0.00311605,-0.082984
238136123,-0.0185657,0.019913,1.04246,0.996556,-0.00216062,-0.000567917,-0.0828867
238329139,-0.0205533,0.0207983,1.04531,0.996581,-0.00245537,-5.89295e-05,-0.0825859
238505880,-0.0214605,0.0219544,1.05155,0.996587,-0.00229981,-0.000931515,-0.0825171
238648607,-0.021488,0.0225277,1.04372,0.996588,-0.00215586,0.000128038,-0.0825062
238818033,-0.0204905,0.0227361,1.0453,0.996609,-0.00351021,-0.00356575,-0.0821354
238996320,-0.0195292,0.0233763,1.05373,0.996586,-0.0032954,-0.00344238,-0.0824224
239148303,-0.0192242,0.0220925,1.0552,0.996598,-0.00281965,-0.00200249,-0.0823396
239354319,-0.0186038,0.019084,1.04948,0.996612,-0.00297543,-0.0019946,-0.0821659
239496074,-0.0181158,0.0204561,1.05319,0.99659,-0.002787,-0.00416857,-0.0823549
239720086,-0.0160061,0.0192969,1.04966,0.996592,-0.00360128,-0.0044925,-0.0822849
239850925,-0.0169284,0.0179555,1.04009,0.996582,-0.00340615,-0.00406062,-0.0824419
240026928,-0.0170619,0.014869,1.03048,0.996599,-0.00303948,-0.00275009,-0.0823046
240176770,-0.0169833,0.0142668,1.03023,0.99658,-0.00409055,-0.00416408,-0.0824291
240357302,-0.0163918,0.0136943,1.02359,0.996576,-0.00429785,-0.00551543,-0.0823845
240554702,-0.0151215,0.0141116,1.01513,0.996565,-0.00371134,-0.00410291,-0.0826342
240686042,-0.0165213,0.0132522,1.01547,0.996569,-0.00467383,-0.00396171,-0.0825334
240877206,-0.0171656,0.0111117,1.00724,0.996548,-0.00516261,-0.00465583,-0.0827227
241076346,-0.0175924,0.0119746,1.0093,0.996527,-0.00545298,-0.00534161,-0.0829193
241216517,-0.0179653,0.0107637,1.0159,0.996543,-0.00503234,-0.00495908,-0.0827818
241385151,-0.0201802,0.00936656,1.0102,0.996506,-0.00620273,-0.00634025,-0.0830519
241545654,-0.0219146,0.00870497,1.0095,0.996517,-0.00553502,-0.00557617,-0.0830203
241716112,-0.0247787,0.0100709,1.01572,0.996492,-0.00607722,-0.00555068,-0.0832851
241868759,-0.0276851,0.0121225,1.02114,0.996526,-0.00396032,-0.00216237,-0.083159
242055635,-0.0312511,0.0132657,1.01768,0.996515,-0.00348704,-0.00133689,-0.0833281
242202391,-0.032164,0.0139929,1.02173,0.996504,-0.00311453,-0.00222334,-0.0834518
242397393,-0.0352691,0.0134402,1.02437,0.996509,-0.00349672,-0.0027688,-0.0833721
242615930,-0.037327,0.0138222,1.02978,0.996531,-0.00266544,-0.000266789,-0.0831843
242739331,-0.0386604,0.0141625,1.03339,0.996548,-0.00215667,0.000782944,-0.0829898
242874697,-0.038736,0.0136919,1.03723,0.996533,-0.0036454,-0.00158585,-0.0831015
243075312,-0.0390337,0.0131919,1.03545,0.996534,-0.0040129,-0.00227788,-0.083064
243237590,-0.0408516,0.0112397,1.03292,0.996549,-0.00357161,-0.000641974,-0.0829221
243435225,-0.0404009,0.0102118,1.03453,0.996568,-0.00376886,-0.00169122,-0.0826746
243625592,-0.0390958,0.00958566,1.04257,0.996575,-0.00391521,-0.00246023,-0.0825628
243773214,-0.0389362,0.00920944,1.03624,0.996598,-0.00314282,-0.00256668,-0.0823104
243908126,-0.0388768,0.00798132,1.03664,0.996617,-0.00229748,-0.00282355,-0.0821012
244107103,-0.0385906,0.00665523,1.03818,0.996627,-0.00343163,-0.00301639,-0.0819372
244285510,-0.0382379,0.00576303,1.04113,0.996669,-0.00269969,-0.00219549,-0.0814788
244446768,-0.0376519,0.00461228,1.04012,0.99668,-0.00307381,-0.00180799,-0.0813371
244625025,-0.035867,0.00489949,1.04147,0.996702,-0.00338234,-0.00259439,-0.0810418
244764413,-0.0334541,0.0013052,1.04121,0.9967,-0.00499004,-0.00495997,-0.0808636
244920963,-0.0342069,-0.000294158,1.03189,0.996717,-0.00443493,-0.00410218,-0.0807332
245117295,-0.0334013,-0.00182395,1.03325,0.996746,-0.00399259,-0.00342743,-0.0804326
