time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
0.9,0.999827,-0.0165408,-0.000713596,-0.00847173,0.00582256,0.00475056,-0.00832714,0.0304557,0.0743469,0.031653,0.0150882,0.098002,-0.00938307,33.6509,-0.028562,0.0141429,0.093658
0.92,0.999826,-0.0165621,-0.000686923,-0.00849417,0.00324514,0.00220085,-0.00104679,0.0302061,0.0739125,0.0317139,0.0149561,0.0971068,-0.00881189,34.7949,-0.0451426,0.00939705,0.058088
0.94,0.999823,-0.0166968,-0.000410685,-0.00861956,-0.0170135,0.0644963,-0.0261033,0.0299408,0.0735898,0.0317516,0.0189224,0.0924076,-0.0117632,35.0004,-0.0546717,0.00974764,0.0738904
0.96,0.999814,-0.0166433,0.00133406,-0.00970899,0.00139006,0.272674,-0.169544,0.0299628,0.0732626,0.0316452,0.0357547,0.0821087,-0.0179742,32.3039,-0.0345421,0.0114764,-0.0761854
0.98,0.999796,-0.0166088,0.00213128,-0.0113261,-0.00868611,-0.0984565,-0.140571,0.0302913,0.0729272,0.0316285,0.0453302,0.0813062,0.0015356,35.3794,-0.0434049,0.0148261,-0.0373586
1,0.999792,-0.0169541,-0.000598032,-0.011344,-0.040738,-0.302294,0.0879881,0.0307474,0.0725053,0.0319317,0.0589407,0.0925683,0.00262687,41.2815,-0.0391129,0.0608664,0.0884839
1.02,0.999811,-0.0168692,-0.00163427,-0.00950504,0.0119282,-0.0921181,0.0855831,0.0316517,0.0716835,0.0321108,0.0494719,0.0995271,-0.000537108,33.8452,-0.0391648,-0.00195353,0.0535845
1.04,0.999807,-0.0168059,-0.00319537,-0.00961008,-0.0110427,-0.136694,-0.0688545,0.0319014,0.0714618,0.0322816,0.0261176,0.097408,-0.000880731,35.6937,-0.0204726,0.0121985,0.111387
1.06,0.999801,-0.0166583,-0.002949,-0.0105694,0.022357,0.0934436,-0.10716,0.0318163,0.0711412,0.0323381,0.0113735,0.0937458,-0.0110232,35.3288,-0.0504631,0.014784,0.183319
1.08,0.9998,-0.0166247,-0.00241166,-0.0108817,-0.0161651,0.0485718,0.0603216,0.0311507,0.070545,0.0324339,-0.00755369,0.0891519,-0.00565142,37.4722,-0.0443359,0.00113934,-0.0676075
1.1,0.999803,-0.0167538,-0.00193349,-0.010478,-0.0288347,0.130138,0.103131,0.0308533,0.0702207,0.0324564,-0.00648419,0.0894959,-0.0135949,33.2836,-0.0506484,0.0119714,0.0975185
1.12,0.999812,-0.0168432,-0.000287782,-0.00963557,-0.0162965,0.0475151,0.00752534,0.0299434,0.069354,0.0324876,-0.0132914,0.0837148,-0.00583615,35.0595,-0.0529727,0.017855,0.0124153
1.14,0.999804,-0.0170186,0.000229356,-0.0100635,-0.0131395,0.0792509,-0.0656227,0.0293805,0.0688676,0.0325623,-0.00369669,0.0826716,-0.00766797,34.692,-0.0240507,0.0353415,0.217408
1.16,0.999801,-0.0168906,0.000807047,-0.0105725,0.000411349,0.0257373,-0.0354259,0.0290655,0.0686379,0.0326087,0.00940178,0.0865156,-0.00509433,37.145,-0.045763,0.0329515,0.0809612
1.18,0.999801,-0.0169883,0.000444988,-0.0104741,-0.027854,-0.056505,0.0358465,0.0290006,0.0684519,0.0327405,0.0231103,0.0893298,-0.00304233,35.9402,-0.034826,0.0192366,0.0911136
1.2,0.999809,-0.0168806,-0.000115815,-0.00984339,0.0159523,-0.0761141,0.0164207,0.0291541,0.0675937,0.033064,0.0301435,0.0831677,-0.000248703,35.6938,-0.0454113,-0.00443319,-0.00946264
1.22,0.999805,-0.0169448,-0.000895128,-0.0100762,0.00509949,-0.0825332,-0.0544376,0.0292826,0.0670749,0.0332963,0.0273246,0.0794793,-0.000276809,36.5673,-0.062291,0.0143015,0.0417441
1.24,0.9998,-0.0169393,-0.00128718,-0.010579,0.0238212,-0.0198835,-0.0581714,0.0293885,0.0666434,0.0334872,0.0236817,0.0801123,-0.000831398,33.313,-0.0339886,0.00554887,0.0895676
